SKU,Location, QTY , Line ,Weight,depth,height,Vol
EP22052001,A2-5-14-2,646,3,12,19,0,23
NB13542001,H2-3-26-1,646,1,12,19,0,23
DT13-12PC-B016,B1-1-42-1,646,1,13,21,0,27
CD79663001,B1-2-60-2,646,1,11,17,0,19
749011-000,C1-0-57-2,646,3,18,22,1,396
340907-000,B1-4-44-1,646,1,11,18,2,322
1903117-2,D1-3-8-1,646,1,21,30,1,777
1939874-1,C2-4-36-1,646,1,15,22,4,"1,320"
178498-1,D1-2-55-2,646,1,16,21,3,"1,008"
1-2232571-2,I2-2-20-1,646,2, -   , -   , -   , -   
1355541-2,I2-5-45-1,646,1,15,23,0,35
1-917542-2,D2-5-47-2,646,1,14,22,3,789
353746-1,A2-4-54-1,646,6,20,25,2,"1,034"
1-1318118-6,B2-3-26-2,646,1,14,22,2,686
175362-1,C1-0-22-1,646,1,17,25,3,"1,393"
2327985-1,B1-3-51-2,645,1,17,25,3,"1,393"
917686-1,O1-5-43-2,645,3,17,24,4,"1,428"
5-1747072-4,N1-4-18-2,645,3,18,25,3,"1,225"
917724-1,O1-5-54-1,645,1,12,20,0,96
2-178136-2,B2-2-36-1,645,1,12,20,0,96
1747052-1,J2-5-53-1,645,4,19,25,3,"1,188"
1-1827875-6,B2-1-34-1,645,1,11,18,3,546
1703838-1,B2-0-52-2,645,5,17,25,3,"1,349"
1565086-1,F1-2-18-2,645,7,16,25,2,600
2098633-1,C1-3-6-1,645,1,18,26,5,"2,285"
179720-1,K1-3-4-2,645,13,21,27,3,"1,876"
170043-7,J2-0-36-2,645,2,21,27,3,"1,876"
6-1747072-3,N2-3-5-1,645,4,21,27,3,"1,876"
1-1670917-1,C1-2-31-2,645,1,13,20,2,536
61-0239-011-000,D1-5-38-2,645,1,17,25,3,"1,262"
2047050-1,F2-1-44-2,645,1,17,25,6,"2,730"
919073-000,C1-5-46-2,645,1,13,21,0,27
DTM04-12PA-E003,C1-1-9-1,645,1,16,28,1,364
W3P,D2-1-41-2,645,1,18,26,4,"1,777"
W8S-P012,C2-0-6-2,644,1,15,24,2,544
DT06-12SA-CE06,H2-1-4-2,644,2,18,25,5,"2,469"
DT13-6P,B2-0-9-2,644,1,18,25,5,"2,469"
DT04-2P-CE03,B1-3-29-1,644,2,18,25,5,"2,469"
878462-000,C1-3-43-1,644,4,22,28,5,"2,966"
2260565-1,F2-5-14-1,644,1,22,28,5,"2,966"
580317J001,N2-1-27-2,644,1,22,28,5,"2,966"
E00553N001,O2-4-50-2,644,1,14,22,2,608
61-0232-011-000,B2-3-19-1,644,2,10,17,1,102
914796-E,O1-5-13-2,644,1, -   , -   , -   , -   
354148-E,G1-5-1-2,644,1,20,27,3,"1,580"
6-1463696-6,G2-3-56-1,644,1,12,18,2,323
3-2119582-5,M2-1-7-2,644,1,11,17,1,168
1618274-1,F1-2-46-2,644,1,12,18,2,318
8-1123320-3,A1-0-51-1,644,1, -   , -   , -   , -   
5-5179010-3,P2-5-34-2,644,2,17,24,2,830
1564760-1,B2-2-58-1,644,2,18,24,2,648
206512-5,F2-1-53-2,644,1,18,24,2,648
179963-1,F1-5-42-1,644,2,12,20,0,96
66104-1,E1-5-13-1,643,1,18,21,3,"1,176"
969042-1,B1-1-33-2,643,1,16,24,2,785
172782-5,J2-4-16-2,643,1, -   , -   , -   , -   
1318106-1,B2-5-5-2,643,5,0,0,0,0
4-1437284-3,B2-3-57-1,643,8,0,0,0,0
1059654-1,P1-5-15-2,643,4,0,0,0,0
1-1123320-5,A1-1-45-1,643,1,22,28,1,480
1-1123320-5,A1-1-45-1,643,1,22,28,1,480
1-2229076-0,A1-3-15-1,643,3,19,25,3,"1,188"
1-2312226-0,A1-3-16-1,643,2,16,25,3,"1,000"
1554288-1,A1-0-23-2,643,1,16,25,3,"1,000"
1903165-2,K1-4-54-1,643,1,16,23,4,"1,288"
1903169-5,A1-2-48-2,643,1,17,23,6,"2,256"
2174101-1,A1-3-6-2,643,17,18,24,0,43
2260908-1,A1-0-28-2,643,1,12,20,0,96
2260908-1,A1-0-28-2,643,1,17,25,3,"1,250"
2289504-1,A1-0-36-1,643,1,17,25,3,"1,250"
2345161-1,A1-0-4-1,643,1,19,24,2,670
2351336-1,A1-0-46-1,643,3,0,0,0,0
3-912157-6,I1-0-19-1,642,1,19,25,2,"1,023"
1376405-1,C1-2-42-2,642,1,15,23,0,35
2822650-1,B1-4-19-1,642,1,18,27,3,"1,338"
1-316837-2,B1-4-55-1,642,7,18,24,0,43
1903749-1,B1-2-7-1,642,1,18,24,0,43
1981093-1,K2-0-57-1,642,4,14,22,2,699
2312883-1,E1-1-32-2,642,2,11,17,1,94
2174100-1,A2-4-5-1,642,3,14,22,2,699
174971-2,F1-4-53-1,642,1,14,22,3,931
174983-7,C2-1-1-2,642,1,16,24,2,564
1326162-1,I2-5-15-1,642,1,15,24,3,929
776087-1,O1-2-7-1,642,1,14,20,2,448
2290477-2,A2-5-27-2,642,1,17,25,2,697
2201714-2,C2-4-56-1,642,2, -   , -   , -   , -   
1981728-2,B2-5-24-2,642,2,17,24,2,816
1-175194-5,D1-1-20-2,642,1, -   , -   , -   , -   
2343382-1,B1-1-14-1,642,1,17,25,3,"1,065"
2287753-1,A2-3-57-1,642,1,11,17,1,234
2013029-4,B1-0-13-2,642,1,11,17,1,94
1939082-2,B2-4-26-2,642,9,15,23,0,35
1-1318384-2,A2-4-57-1,642,7,18,25,3,"1,205"
2360058-1,A2-4-1-1,641,2, -   , -   , -   , -   
2174290-1,C2-1-26-2,641,3,14,22,1,406
2345160-2,A2-5-7-2,641,3,20,27,2,"1,034"
2260804-1,L2-0-12-2,641,1,14,20,3,749
2287753-1,A2-3-57-1,641,1,15,24,2,865
2331759-1,B1-0-15-2,641,1,17,24,2,701
2357650-1,A2-4-36-1,641,1,20,29,1,814
2328276-1,A2-5-23-2,641,4,15,24,2,838
1903619-1,B1-3-44-1,641,6,13,22,2,636
2229669-1,A2-3-51-2,641,1,11,15,1,84
172320-2,B1-3-32-1,641,9,14,21,2,588
2345160-5,A2-4-7-2,641,2,16,24,5,"1,920"
2260316-6,F2-5-10-2,641,1,13,18,4,890
776001-1,B1-1-33-1,641,3,13,21,1,349
175286-2,B1-1-4-2,641,3,10,18,0,18
316837-2,A2-4-23-1,640,6,20,25,0,15
1-1823640-1,B2-3-31-1,640,1,14,21,2,439
179970-1,B1-3-56-2,640,2,16,23,2,836
1939403-7,D2-5-52-2,640,1,19,22,2,820
174264-2,D2-4-59-2,640,2,14,22,1,332
6318501-1,B2-2-17-2,640,1,0,0,0,0
2391828-7,L2-5-58-2,640,4,16,25,5,"2,000"
2-1447175-5,K2-5-44-1,640,1,0,0,0,0
1903749-1,B1-2-7-1,640,1, -   , -   , -   , -   
7-917570-2,O1-2-37-1,640,1,11,18,1,203
917992-1,H1-3-10-1,640,5,17,24,2,718
1318757-1,D2-3-20-2,640,1,19,24,3,"1,296"
2069957-1,B1-3-36-2,640,1,14,21,4,"1,177"
2328259-2,A1-0-20-2,640,1, -   , -   , -   , -   
1717112-2,B2-5-16-1,640,1,12,18,1,227
1939605-1,B1-4-24-2,640,6,19,25,3,"1,534"
8-1447176-4,C1-5-41-2,639,1,19,25,3,"1,534"
917805-2,C1-2-19-2,639,2,18,25,3,"1,400"
2360058-2,A2-3-50-2,639,1,18,25,3,"1,400"
1473139-1,J1-1-43-2,639,5,19,25,4,"1,771"
1871186-3,B1-3-11-1,639,1,19,25,3,"1,255"
2260813-2,A2-3-48-2,639,3,17,27,6,"2,754"
1827587-2,B2-2-5-2,639,2,14,22,2,716
2357939-1,A2-4-34-1,639,1,11,18,2,322
1827689-2,A1-2-37-1,639,1,16,24,3,960
2069538-2,A1-2-25-1,639,1,17,24, -   , -   
178406-7,A2-0-50-2,639,1,15,23,3,"1,070"
917987-1,O2-0-16-2,639,1,14,22, -   , -   
2312245-1,A1-5-50-2,639,1,14,22, -   , -   
174976-2,K1-0-21-1,639,1,14,22, -   , -   
2331752-1,L2-3-13-2,639,1,16,23,4,"1,338"
1981561-2,F2-0-50-2,639,8,16,23,4,"1,338"
2013031-2,A2-3-53-2,639,3,0,0,0,0
2013029-5,B1-5-59-2,638,3, -   , -   , -   , -   
2304266-1,E1-1-29-2,638,1, -   , -   , -   , -   
1903985-1,B1-4-5-2,638,2,14,22, -   , -   
2372432-1,B1-0-29-1,638,11,14,19,3,798
1-2822015-0,B1-3-54-2,638,3, -   , -   , -   , -   
2331755-1,B1-1-26-1,638,1,16,23,3,"1,059"
1376108-1,A2-0-37-2,638,1,15,22,3,779
2260805-1,A1-0-54-2,638,1,14,22, -   , -   
917896-1,O2-0-7-1,638,1,16,23,3,"1,213"
1939980-2,K2-0-9-1,638,2,14,22,2,615
NB07752001,P1-0-43-2,638,1,14,22,2,615
063725P022,B1-3-41-1,638,2,14,22, -   , -   
1903170-8,A1-2-7-2,638,1,14,22, -   , -   
1717398-3,A1-3-3-2,638,1,17,25, -   , -   
HD34-24-31SE,D2-1-26-1,638,1, -   , -   , -   , -   
DT06-6S-CE05,B2-2-20-2,637,1,11,14,5,730
DRCP28-86SA,O2-4-2-2,637,1,14,22,3,756
1060-14-0122,B2-0-35-2,637,2,21,28, -   , -   
340907-000,B1-4-44-1,637,4,14,22, -   , -   
172501-1,D1-2-31-2,637,1,14,22,4,"1,058"
1-5174480-1,F1-1-57-2,637,1, -   , -   , -   , -   
5-5175473-5,N2-0-21-2,637,1,14,22, -   , -   
1318385-1,A1-1-1-1,637,1, -   , -   , -   , -   
3-1489841-2,M1-5-31-1,637,1,14,22, -   , -   
1-2289033-1,C2-3-35-2,637,1,14,22, -   , -   
1971151-2,C2-1-16-2,637,1,17,25, -   , -   
177919-1,D2-5-20-1,637,1,15,22,2,660
292230-3,E1-2-25-2,636,1,18,23,3,"1,227"
1376020-1,D2-3-30-1,636,1,18,23,3,"1,227"
917780-1,H1-3-7-2,636,2, -   , -   , -   , -   
2318539-1,A2-3-55-1,636,3, -   , -   , -   , -   
1473140-1,J1-1-44-1,636,2, -   , -   , -   , -   
5352152-1,B2-5-48-1,636,1,16,24,3,"1,228"
1473565-4,D2-3-47-2,636,1,14,22,2,616
34150,P2-5-35-1,636,2,14,22, -   , -   
1897634-2,C2-1-10-2,636,2,14,22,2,616
1-1827583-2,D1-1-31-1,636,1,14,22,2,605
3-1440000-1,M1-5-22-2,636,2,14,22,4,"1,232"
1746790-2,J2-5-47-1,636,1,15,22,2,479
1969442-6,K2-0-31-2,636,4,15,22,2,479
177908-1,B2-0-24-1,636,1, -   , -   , -   , -   
1-178136-2,B2-0-48-1,636,6, -   , -   , -   , -   
2040537-1,C2-4-42-2,636,3, -   , -   , -   , -   
2291174-1,B1-5-33-1,635,1,16,24,3,"1,017"
180923,P2-5-35-2,635,3, -   , -   , -   , -   
1746741-3,C2-4-14-1,635,1,16,24,2,631
170454-1,D2-4-17-2,635,9, -   , -   , -   , -   
1011-311-0205,D2-2-12-2,635,1,14,22, -   , -   
DT04-2P-CE03,B1-3-29-1,635,1,14,22, -   , -   
CZ2010-000,O2-3-39-1,635,1, -   , -   , -   , -   
5039304024,P2-5-36-1,635,1,17,25,3,"1,275"
580317J001,N2-1-27-2,635,1,14,22, -   , -   
CL1402-000,C2-2-49-1,635,1,14,22, -   , -   
829131P012,E2-0-2-1,635,3,20,27, -   , -   
063725P011,B1-1-11-1,635,1, -   , -   , -   , -   
238009-8,L2-5-33-1,635,1,14,22, -   , -   
3576550001,P2-5-36-2,635,1,14,22, -   , -   
8-1123320-3,A1-0-51-1,635,2,14,22, -   , -   
1318688-2,A1-0-41-2,635,1,16,24,3,"1,152"
2-1437565-6,K2-5-40-1,635,1,17,24,2,816
CP4925-000,C2-2-50-2,634,1,17,24,4,"1,632"
063725P021,E2-4-4-1,634,1,17,24,2,639
2294417-1,B2-1-3-1,634,1,14,22, -   , -   
3-912065-6,M2-5-8-2,634,1,14,22, -   , -   
969042-1,B1-1-33-2,634,1,14,22, -   , -   
1565080-1,C1-4-21-1,634,7, -   , -   , -   , -   
1241396-1,F1-0-27-1,634,2,14,22, -   , -   
1-66098-8,C2-0-45-1,634,1,14,22, -   , -   
2199155-3,L1-3-1-2,634,1,14,22, -   , -   
2822346-1,B1-2-30-1,634,1, -   , -   , -   , -   
1903611-1,B1-4-34-2,634,1, -   , -   , -   , -   
2040113-1,K2-2-30-1,634,2, -   , -   , -   , -   
1318765-2,A1-2-4-2,634,1, -   , -   , -   , -   
1565223-6,A1-4-34-2,634,1, -   , -   , -   , -   
1573163-1,I1-1-37-1,634,1, -   , -   , -   , -   
1717398-2,A1-3-3-1,634,1,22,28,1,831
1903169-3,A1-0-28-1,634,1,22,28,1,831
1939214-1,A1-1-53-2,634,3,16,22,1,239
2260155-1,A1-0-27-1,634,12,15,21,2,673
2260908-1,A1-0-28-2,634,2,21,27,2,851
2287754-1,A1-0-1-2,634,32,21,27,2,"1,134"
2289504-2,A1-0-10-1,634,13,23,28,1,500
2304880-1,A1-2-46-1,634,1,21,28,2,"1,098"
3-1565431-7,M1-5-37-1,634,1,21,28,2,"1,098"
455335-126-01,C1-0-51-1,634,1,16,25,2,800
776429-3,P2-5-37-1,634,1,20,28,1,399
8-912068-5,I1-0-31-1,634,10,22,28,0,247
2434428-2,M1-1-44-1,633,1, -   , -   , -   , -   
2-1418390-1,K2-5-32-2,633,1,22,28,1,490
1123340-1,C2-0-13-1,633,1,22,28,2,"1,163"
1376360-1,B1-2-43-2,633,11,20,28,2,"1,019"
1-1939921-1,I2-1-20-2,633,1,21,29,2,"1,227"
170325-1,J2-1-6-2,633,8,20,31,1,604
917512-2,B2-4-49-1,633,2,21,30,1,651
6565199-3,A2-5-52-2,633,3,19,28,2,"1,178"
174149-1,J2-5-14-2,633,1,21,29,2,"1,227"
2174955-3,L1-1-47-2,633,1,22,31,5,"3,178"
2260813-4,A2-4-37-2,633,6,12,18,3,733
2391892-1,M1-0-5-1,633,1,12,18,1,271
1456471-2,J1-1-31-2,633,1, -   , -   , -   , -   
175781-1,F1-5-5-1,633,1,11,18,1,176
1473672-1,B1-0-37-2,632,1,12,19,0,23
178323-5,C1-0-23-1,632,2,11,17,0,19
1981724-3,B1-0-18-2,632,1,13,19,2,494
1554723-1,B1-5-54-1,632,6,12,19,0,23
2302020-1,C1-0-37-2,632,3,12,19,0,23
2312324-1,A2-3-47-2,632,1,16,22,2,571
2383494-3,D1-4-19-1,632,1,15,23,0,35
1-2295435-1,I2-2-48-1,632,1, -   , -   , -   , -   
2822261-1,E1-2-13-1,632,1,12,19,0,23
1717399-1,A1-0-5-1,632,1,12,19,0,23
2261071-1,A2-4-39-1,632,1,12,19,0,23
1939082-2,B2-4-26-2,632,9,12,18,1,142
2360058-1,A2-4-1-1,632,1,16,23,2,692
2287753-1,A2-3-57-1,632,1,11,17,0,19
2260992-1,B1-3-60-1,632,4,20,27,6,"3,204"
2229994-2,A2-3-48-1,631,1,11,17,0,19
2343635-1,A2-3-60-1,631,1,11,17,0,19
2261071-2,A2-4-35-1,631,2,12,19,0,23
1747419-2,B1-3-33-1,631,2,12,19,0,23
1437228-6,J1-1-4-1,631,5,11,17,0,19
316833-2,B1-3-14-1,631,5,11,17,0,19
173630-1,A2-4-44-1,631,1,19,24,2,816
173630-1,A2-4-44-1,631,4,11,17,0,19
2287743-2,B1-3-12-2,631,2,10,18,3,459
1-2103177-1,B1-4-31-2,631,1,11,18,2,297
2391901-1,M1-0-9-1,631,1,11,18,2,297
2312236-1,A2-5-3-1,631,1,11,18,2,297
292132-4,E1-2-21-2,631,1,12,18,2,318
2345832-2,B2-4-35-1,631,1,11,17,0,19
1318620-2,B1-5-37-2,631,3, -   , -   , -   , -   
1-900325-9,D1-3-6-2,631,1,11,17,0,19
1-2013522-0,C1-0-9-1,631,1,18,25,4,"1,912"
2500022-1,G1-1-32-1,631,2,12,19,0,23
172023-1,C2-4-7-1,630,1,12,19,0,23
2360058-2,A2-3-50-2,630,2,12,19,0,23
173853-1,A2-4-35-2,630,4,11,17,0,19
1123899-1,A2-3-52-1,630,1,12,19,0,23
2260813-2,A2-3-48-2,630,7,12,19,0,23
5-6447223-9,G2-3-1-2,630,2,11,17,0,19
1473790-1,B2-1-14-2,630,3,15,23,0,35
1612121-4,A2-5-41-1,630,1,17,24,3,"1,362"
178448-2,K1-2-29-1,630,1,15,23,0,35
1318694-1,B2-2-24-2,630,7,16,23, -   , -   
178448-2,K1-2-29-1,630,1,16,24, -   , -   
2306719-3,C1-4-58-1,630,3,16,24,4,"1,316"
1-353011-2,I2-5-37-1,630,1,12,20,2,480
1717110-1,J2-2-3-2,630,1,16,23,2,840
2-917809-3,C1-3-25-1,630,1,18,25,0,45
2134242-1,A2-0-16-2,630,1,17,25,4,"1,629"
2313002-1,G1-0-3-2,630,5,13,20,3,750
1827842-1,B1-1-5-1,630,2,13,20,3,750
2229101-4,A2-4-19-1,630,4,14,21,2,654
1903608-4,B1-0-40-1,630,2,16,24, -   , -   
2290160-3,A2-4-17-1,630,9, -   , -   , -   , -   
2331755-1,B1-1-26-1,630,5,17,25,0,43
2822015-1,A2-4-31-2,630,1,13,18, -   , -   
1903030-1,P2-5-37-2,630,1,20,27,5,"2,457"
6-1123320-7,A1-4-48-2,629,4,13,21,0,27
2260793-1,A1-0-3-2,629,3, -   , -   , -   , -   
CP4925-000,C2-2-50-2,629,3,18,21,2,756
2-1445050-8,C2-4-51-2,629,1,16,24,3,960
1-179958-4,E2-5-41-1,629,2,14,21,0,29
2291354-2,A2-4-6-2,629,2,14,21,0,29
185879-1,F1-5-58-1,629,1,16,24,3,"1,267"
2229812-2,L1-4-34-1,629,1,16,24,5,"1,920"
8-1123320-3,A1-0-51-1,629,1,16,24,5,"1,920"
1318765-9,A1-5-13-1,629,1,18,24,0,43
1011-311-0205,D2-2-12-2,629,1,21,27,1,397
CQ10333001,D1-0-37-1,629,2,18,25,1,528
955741-000,A2-5-39-2,629,1,22,28,1,473
678211-000,N2-5-39-2,629,1,18,24,0,43
1939556-4,K1-5-46-2,629,1,21,28,1,470
1-1438153-3,B2-0-36-1,629,3,18,25,2,810
1376354-1,A1-2-24-1,629,2,18,25,2,810
770680-1,B2-1-6-2,629,5,22,28,1,477
1376384-1,J1-0-13-2,629,1,18,24,1,216
2289140-1,B2-1-1-2,629,2,18,24,1,216
2174512-4,B2-5-29-2,629,1,18,24,1,216
185001-6,K1-4-8-1,629,1,21,28,1,588
1-1473562-3,I1-4-27-1,629,1,21,28,1,588
1746741-3,C2-4-14-1,628,1,18,24,1,439
1-178136-2,B2-0-48-1,628,1,22,28,1,613
2-967167-6,C2-5-20-1,628,2,22,28,1,613
3-292173-4,B2-3-18-2,628,1,22,28,1,613
2237149-2,B1-2-19-2,628,1,18,24,1,265
177919-1,D2-5-20-1,628,13,21,28,1,529
4-1565085-2,M2-5-55-1,628,4,18,25,1,500
1473255-1,C2-0-38-2,628,2,15,24,0,36
1473567-4,A2-5-18-2,628,2,15,24,0,36
1743062-2,B1-5-14-1,627,1,17,25,4,"1,817"
2261071-2,A2-4-35-1,627,3,15,24,0,36
963293-1,C1-3-47-2,627,2,15,24,0,36
634051-005,B1-3-52-2,627,3,20,25,4,"1,744"
1010-114-0206,I1-2-41-1,627,1,19,25,1,377
2312993-1,G1-0-2-2,627,1,19,25,1,377
2063846-1,K2-3-10-2,627,1,18,24,1,432
680789-000,B2-4-46-1,627,2,18,24,1,432
811933-000,H1-0-59-2,627,1,19,25,1,582
1803179-2,C2-4-27-2,627,2,19,25,1,582
2-409285-0,G1-1-18-2,627,2,19,25,2,882
919041-2,O2-0-28-2,627,1,19,25,2,882
171662-7,A1-1-46-2,627,2,21,28,1,596
1-1747276-3,B1-3-6-1,627,1,23,28,1,429
794606-1,H1-0-43-2,627,1,21,28,1,460
179609-1,B1-1-32-1,627,1,21,28,1,637
1534594-2,J1-2-38-1,627,1,21,28,1,412
60851-1,N2-2-15-1,627,1,18,25,4,"1,852"
968075-2,B2-4-4-1,627,2,21,28,0,235
6-912078-9,I1-0-8-1,627,2,21,28,0,238
1-968325-1,K2-0-24-2,627,1,21,28,1,294
1674312-1,B1-4-23-1,627,1,21,28,2,"1,119"
1-966701-2,B1-5-58-2,627,6,21,28,2,"1,119"
2351097-1,L2-4-17-2,626,1,21,28,2,"1,119"
1903886-6,B2-2-6-2,626,1,22,29,2,"1,112"
1-1123320-5,A1-1-45-1,626,1,22,29,2,"1,112"
1318765-2,A1-2-4-2,626,1,22,29,2,"1,112"
1-912157-0,I1-0-5-2,626,329,22,29,2,"1,112"
1939922-1,K2-0-1-2,626,2,21,28,0,59
2174101-1,A1-3-6-2,626,2,16,24,1,307
2-1939925-5,A2-1-2-1,626,4,18,25,1,302
2229487-1,A1-0-13-2,626,1,18,24,0,173
2229809-1,A1-0-59-1,626,1,18,24,0,173
2229988-1,A1-0-43-2,626,38,18,24,1,266
2229988-1,A1-0-43-2,626,17,19,25,1,279
2260800-1,L2-0-12-1,626,24,19,25,1,279
2260816-1,A1-0-6-1,626,18,19,25,1,279
2260910-1,A1-1-28-1,626,2,14,21,0,118
2287754-1,A1-0-1-2,626,1,16,23,3,"1,139"
2289504-2,A1-0-10-1,625,1,14,21,3,882
2289505-2,L2-0-46-1,625,5,14,21,1,206
2294356-1,A1-0-35-2,625,1,19,24,2,958
2312230-4,A1-2-40-1,625,1,16,25,5,"1,957"
2371440-1,A2-1-13-2,625,7,21,27,2,893
2822322-1,A1-0-50-1,625,55,21,28,1,412
987302-000,C2-2-44-1,625,1,21,28,1,412
1-480285-0,J1-2-3-2,625,2,21,28,1,470
1939965-1,C1-0-27-2,625,1,18,24,1,216
2-917809-2,E1-2-21-1,625,1,18,24,0,173
174516-6,C1-4-32-1,625,2,19,24,1,325
130599P014,I2-4-47-1,625,1,14,21,0,118
2174100-1,A2-4-5-1,624,2,14,21,0,118
1981080-1,F2-0-49-1,624,1,14,21,0,118
2260802-5,A2-4-34-2,624,3,18,24,1,310
2822650-1,B1-4-19-1,624,1,18,24,1,310
1379658-1,J1-0-31-2,624,1,18,24,1,310
2292492-3,B1-1-18-1,624,1,18,24,1,266
2292496-2,A2-4-6-1,624,1,18,24,1,310
1473143-2,B1-0-14-1,624,3,18,24,1,310
2292496-2,A2-4-6-1,624,1,18,24,1,355
2292492-3,B1-1-18-1,624,1,18,24,1,222
1376111-7,B1-1-56-2,624,6,14,21,0,29
179631-2,A2-4-13-2,624,5,15,22,3,924
1939082-9,C1-0-26-1,623,1,15,24,0,36
964269-3,B1-2-22-1,623,2,17,24,6,"2,407"
1123343-1,B1-3-21-1,623,1,19,24,3,"1,339"
179317-4,K1-2-51-1,623,1,16,24,3,"1,267"
2201816-2,B1-1-28-1,623,5,14,23,3,832
2174126-1,B2-0-2-2,623,3,20,25,5,"2,423"
1747285-1,B1-1-16-2,623,3,14,21,0,29
2287753-1,A2-3-57-1,623,2,18,24,3,"1,426"
2342995-1,A2-4-37-1,623,2,22,29,10,"6,380"
2201812-1,A2-4-16-2,623,1,21,28,2,"1,411"
2287753-1,A2-3-57-1,623,1,16,23,2,810
1747285-1,B1-1-16-2,623,1,16,24,4,"1,459"
1318745-8,A2-5-18-1,623,1,14,21,1,382
2345160-5,A2-4-7-2,623,2,13,22,3,763
1674936-5,B1-3-48-1,623,1,21,28,1,468
2040457-3,E1-0-8-2,622,2,21,28,1,468
6-2103177-4,G2-4-5-1,622,2,21,28,1,468
1-1827864-6,B1-5-24-1,622,1,21,28,1,468
1SNK805018R0000,B1-1-59-2,622,2,21,28,0,59
2304223-1,L2-1-50-1,622,2,21,28,0,59
1-178708-4,I2-0-36-1,622,1,21,28,0,59
1981804-1,B2-3-46-2,622,1,22,28,1,492
2-2367943-2,L1-4-54-1,622,1,22,28,1,299
1624344-2,F1-2-48-1,622,1,21,28,0,59
292161-6,M1-4-1-1,622,1,21,28,0,59
1717284-2,C2-0-50-2,622,1,21,28,0,59
316390-7,B1-5-21-1,622,2,21,28,0,59
1318756-1,D1-1-50-2,622,2,21,28,0,59
1612331-2,J1-4-14-1,622,1,21,28,1,353
2301724-5,A2-5-36-1,622,4,21,28,1,353
1318757-1,D2-3-20-2,622,3,21,28,1,353
1473139-1,J1-1-43-2,621,7,19,24,2,951
1-917659-6,F2-0-24-1,621,2,19,24,2,951
2260792-2,A2-3-46-1,621,1,19,25,1,310
2040009-1,C2-4-41-2,621,1,22,28,2,977
2341166-1,L2-3-37-1,621,1,21,29,3,"2,010"
6437288-2,B2-5-50-1,621,4,18,24,0,43
1565543-1,J1-3-28-1,621,1,18,24,0,43
1565221-2,C2-3-53-2,621,3,14,21,1,382
3-173738-1,A2-0-25-2,621,1,18,24,0,43
1747415-1,P1-4-8-1,621,1,15,24,0,36
2040386-1,A1-1-21-1,621,1,15,24,0,36
2371229-1,C2-5-11-1,621,1,14,21,0,29
1981411-1,A1-1-9-2,621,1,15,24,4,"1,260"
174145-2,J2-5-13-2,621,1,14,23,3,866
176146-2,B1-2-6-1,621,8,18,24,0,44
2331756-2,A2-1-9-2,621,1,18,24,0,44
1746863-1,C2-4-14-2,620,2,18,24,0,89
1565378-1,J1-3-22-1,620,1,18,24,0,89
1903611-4,B1-3-34-2,620,17,18,24,0,89
1746316-1,A1-3-4-2,620,1,18,24,0,89
2229097-3,A2-4-13-1,620,5,18,24,0,89
2331751-1,C1-3-18-2,620,4,18,24,0,89
2331755-2,G1-0-20-2,620,14,15,24,2,648
2260815-1,A1-0-1-1,620,1,14,21,2,470
2305032-1,A2-4-47-2,620,1,14,21,0,29
174979-2,F1-4-54-1,620,1,14,21,0,29
1-175218-2,B1-1-35-2,620,5,14,21,0,29
DT04-2P-CE04,E2-1-55-2,620,2,18,24,0,43
W12P,C1-3-56-1,620,2,18,24,1,314
340907-000,B1-4-44-1,620,1,18,24,0,43
2069415-5,B1-3-58-1,620,1,14,21,0,29
2-2236896-5,L1-4-2-2,620,2,18,24,0,89
177918-1,D2-5-19-2,620,1,18,24,0,133
176271-1,K1-1-17-2,620,1,18,24,0,89
2381913-2,G1-0-59-1,620,1,18,24,0,89
1903028-4,P2-5-38-1,620,1,18,24,0,133
2138622-1,C1-3-8-1,620,1,18,24,0,133
1-178128-4,B2-2-21-2,620,3,18,24,0,133
776437-3,O1-2-15-2,620,1,19,24,0,178
2201864-2,C1-3-11-1,619,1,18,24,0,43
1-1747276-3,B1-3-6-1,619,6,16,24,1,500
2174955-1,A2-4-18-2,619,1,13,22,2,497
1438992-1,B2-1-57-2,619,2,13,22,2,497
1-179277-5,E2-5-39-2,619,1,14,22,1,242
173974-1,B1-2-5-1,619,7,14,22,1,242
776534-1,B1-2-21-2,619,1,14,21,0,29
1-353082-2,C1-2-41-1,619,1,15,24,0,36
2329531-1,B2-1-23-2,619,1,17,26,7,"3,065"
2229745-1,B1-5-47-1,619,1,21,28,1,352
1981835-1,K2-1-15-2,619,3,21,28,1,352
2237149-2,B1-2-19-2,619,3,21,28,1,352
965577-1,B2-0-9-1,619,1,21,28,1,585
497361-000,C1-0-52-1,619,1,21,28,0,176
DT04-12PD-CE07,B2-4-5-1,618,1,22,28,0,177
DRC13-40PA,P2-5-38-2,618,1,21,28,0,59
DRC26-40SA,C1-2-23-1,618,1,22,28,1,355
DRC23-40PB-N010,A2-5-44-2,618,1,22,28,1,605
NB17554001,P2-5-39-1,618,1,22,28,1,358
354148-E,G1-5-1-2,618,1,22,28,1,669
724659-2,O1-1-11-2,618,1,22,28,1,669
690191-7,N2-5-46-1,618,1,22,28,2,"1,428"
409591-3,M2-5-27-1,618,1,22,28,2,930
3-1803017-1,C2-5-25-2,618,2,22,28,2,930
462374-1,N1-2-16-2,618,1,20,25,5,"2,423"
455940-000,C1-2-12-1,618,1,18,24,2,887
